epoch,train_loss,val_loss,val_l1,val_l2,lr_model,lr_latent,elapsed_s
258,0.000827,0.000852,0.000727,0.000125,1.00e-04,1.00e-03,972.8
259,0.000826,0.000834,0.000709,0.000125,1.00e-04,1.00e-03,976.6
260,0.000825,0.000916,0.000792,0.000125,1.00e-04,1.00e-03,980.3
261,0.000827,0.000854,0.000729,0.000125,1.00e-04,1.00e-03,984.1
262,0.000827,0.000874,0.000750,0.000124,1.00e-04,1.00e-03,987.8
263,0.000818,0.000851,0.000727,0.000125,1.00e-04,1.00e-03,991.6
264,0.000822,0.000877,0.000753,0.000124,1.00e-04,1.00e-03,995.4
265,0.000824,0.000874,0.000750,0.000124,1.00e-04,1.00e-03,999.2
266,0.000815,0.000863,0.000739,0.000124,1.00e-04,1.00e-03,1002.9
267,0.000819,0.000892,0.000768,0.000124,1.00e-04,1.00e-03,1006.7
268,0.000816,0.000852,0.000728,0.000124,1.00e-04,1.00e-03,1010.4
269,0.000816,0.000834,0.000710,0.000124,1.00e-04,1.00e-03,1014.2
270,0.000813,0.000859,0.000735,0.000124,1.00e-04,1.00e-03,1018.0
271,0.000819,0.000877,0.000753,0.000124,1.00e-04,1.00e-03,1021.7
272,0.000810,0.000911,0.000787,0.000124,1.00e-04,1.00e-03,1025.5
273,0.000811,0.000844,0.000720,0.000124,1.00e-04,1.00e-03,1029.2
274,0.000811,0.000936,0.000812,0.000124,1.00e-04,1.00e-03,1033.0
275,0.000808,0.000903,0.000779,0.000124,1.00e-04,1.00e-03,1036.7
276,0.000807,0.000863,0.000739,0.000124,1.00e-04,1.00e-03,1040.5
277,0.000810,0.000885,0.000761,0.000124,1.00e-04,1.00e-03,1044.3
278,0.000808,0.000847,0.000723,0.000124,1.00e-04,1.00e-03,1048.0
279,0.000805,0.000832,0.000708,0.000124,1.00e-04,1.00e-03,1051.8
280,0.000806,0.000831,0.000707,0.000124,1.00e-04,1.00e-03,1055.6
281,0.000803,0.000874,0.000750,0.000124,1.00e-04,1.00e-03,1059.4
282,0.000802,0.000850,0.000727,0.000124,1.00e-04,1.00e-03,1063.1
283,0.000800,0.000836,0.000713,0.000124,1.00e-04,1.00e-03,1066.9
284,0.000797,0.000869,0.000746,0.000123,1.00e-04,1.00e-03,1070.7
285,0.000801,0.000866,0.000742,0.000123,1.00e-04,1.00e-03,1074.4
286,0.000798,0.000882,0.000759,0.000123,1.00e-04,1.00e-03,1078.2
287,0.000802,0.000877,0.000754,0.000123,1.00e-04,1.00e-03,1082.0
288,0.000790,0.000840,0.000717,0.000123,1.00e-04,1.00e-03,1085.7
289,0.000795,0.000878,0.000755,0.000123,1.00e-04,1.00e-03,1089.5
290,0.000788,0.000825,0.000702,0.000123,1.00e-04,1.00e-03,1093.3
291,0.000791,0.000842,0.000719,0.000123,1.00e-04,1.00e-03,1097.0
292,0.000791,0.000840,0.000717,0.000123,1.00e-04,1.00e-03,1100.8
293,0.000788,0.000835,0.000712,0.000123,1.00e-04,1.00e-03,1104.5
294,0.000789,0.000822,0.000699,0.000123,1.00e-04,1.00e-03,1108.3
295,0.000791,0.000855,0.000732,0.000123,1.00e-04,1.00e-03,1112.1
